Head,Body,Tags,First Answer
Generate credit cards dataset for locating number region,"
Currently I'm working on a project for scanning credit card and text extraction from cards. So first of all I decided to preprocess my images with some filters like thresholding, dilation and some other stuff. But it was not successfully for OCR of every credit cards. So I learned a lot and I found a solution like this for number plate recognition that is very similar to my project.
In the first step I want to generate a random dataset like my cards to locate card number region, and for every card that I've generated I cropped two images that one of them has numbers and another has not. I generated 2000 images for every cards.
so I have some images like this:
 (does not have numbers)
 (has numbers)
And after generating my dataset I used this model with tensorflow to train my network.
    model = models.Sequential()
    model.add(layers.Conv2D(8, (5, 5), padding='same', activation='relu', input_shape=(30, 300, 3)))
    model.add(layers.MaxPooling2D((2, 2)))

    model.add(layers.Conv2D(16, (5, 5), padding='same', activation='relu'))
    model.add(layers.MaxPooling2D((2, 2)))

    model.add(layers.Conv2D(32, (5, 5), padding='same', activation='relu'))
    model.add(layers.MaxPooling2D((2, 2)))

    model.add(layers.Flatten())
    model.add(layers.Dense(512, activation='relu'))
    model.add(layers.Dense(2, activation='softmax'))

Here is my plot for 5 epochs. 


I almost get 99.5% of accuracy and It seems to be wrong, I think I have kind of overfitting in my data. Does it work correctly or my model is overfitted ? And how can I generate dataset for this purpose ?
","['neural-networks', 'convolutional-neural-networks', 'tensorflow', 'datasets', 'optical-character-recognition']",
Which approaches are best suited for text deblurring?,"


I want to deblur text images using deep learning. Which approaches are best suited for the task? Any example networks? Is unsupervised network the best approach? GAN or cycle GAN for these purposes?
I have currently prepared 1000 images for training (shapr+blur) is it sufficient? For each of these approaches, how many training images do I need? 
I have attached sample blurred image and Ground truth
","['neural-networks', 'convolutional-neural-networks', 'unsupervised-learning', 'generative-adversarial-networks']",
Will a .h5 file trained with Xception model work with Resnet50? [closed],"







                                This post is about a programming issue or bug.
                                
                            











 After having gone through the help center, if you think this post is on-topic but has just been formulated incorrectly, please, edit it to clarify how it's on-topic and then vote to re-open it.


Closed 1 year ago.















Obsolete. This question is obsolete because the content is out of date. It is not currently accepting new answers or interactions.
                                
                            






I have been running my 2013 server box since 2 weeks ago for training an AI model.
I set up 30 epochs to run but since than it only ran 1 epoch as my PC config is super slow. But it generates 1 .h5 file. 
My question is will this .h5 file that I trained with Xception model work for Resnet 50?
","['training', 'models', 'hyper-parameters']",
Examples of ontologies made with AI,"
I'm looking for more or less successful artificial intelligence usage examples to build an ontology or rationale why it can't be done. I found a lot of articles on how to use ontologies for AI, but not succeded vice versa.
","['applications', 'ontology']",
What are the pros and cons of using standard deviation or entropy for exploration in PPO?,"
When trying to implement my own PPO (Proximal Policy Optimizer), I came across two different implementations :
Exploration with std

Collect trajectories on $N$ timesteps, by using a policy-centered distribution with progressively trained std variable for exploration
Train policy function on $K$ steps
Train value function on $K$ steps

For example, the OpenAI's implementation.
Exploration with entropy

Collect trajectories on $N$ timesteps, by using policy function directly
Train policy and value function at the same time on $K$ steps, with a common loss for the two models, with additional entropy bonus for exploration purpose.

For example, the PPO algorithm as described in the official paper.
What are the pros/cons of these two algorithms?
Is this specific to PPO, or is this a classic question concerning policy gradients algorithms, in general?
","['neural-networks', 'reinforcement-learning', 'policy-gradients', 'proximal-policy-optimization']","
Both implementations may be closer than you think.
In short:
PPO has both parts: there is noisiness in draws during training (with learned standard deviation), helping to explore new promising actions/policies. And there is a term added to the loss function aiming to prevent a collapse of the noisiness, to help ensure exploration continues and we don't get stuck at a bad (local) equilibrium.
In fact, for continuous action, the term for entropy in the loss function you describe in Ex. 2, can make sense only when the actions are stochastic, i.e. when there action choice has some standard deviation the way you describe in Ex. 1.
More detail:
On one hand, PPO (at least for continuous action), trains a central/deterministic value (say the mean policy or close to mean) targeting a most profitable action path. On the other hand, along with it, a standard deviation making the actions a random draw with noise around the deterministic value. This is the part you describe in Example 1. The noise helps explore new paths and to update the policy according to the rewards on these sampled paths.
Entropy itself is a measure of the noisiness of the draws, an thus also an indirect indicator for the trained standard deviation value(s) of the policy.
Now, entropy tends to decay as training progresses, that is, the random draws become progressively less random. This can be good for reward maximization - really the best draws are taken for reward maximization - but it is bad for further improvements of policy: improvement may halt or slow down as exploration of new action paths fades.
This is where entropy encouragement comes in. PPO foresees the inclusion of entropy in the loss function: we reduce the loss by x * entropy, with x the entropy coefficient (e.g. 0.01), incentivizing the learning network to increase the standard deviations (or, to not let them drop too much). This part is what you describe in Example 2.
Further notes:

During exploitation, we'd typically turn off the noise (implicitly assuming action std = 0) and pick deterministic actions: in normal cases this increases the payoffs; we're choosing our best action estimate, rather than at a random value around it.
People are not always precise when referring to the model's entropy vs. the entropy coefficient added to the loss function.
Other RL algorithms with continuous action tend to use noisy drwas with standard deviations/entropy too.

"
Confidence Maps and Non-Linearity,"
I am currently trying to improve a CNN architecture that was proposed for generating depth images. 
The architecture was originally proposed for autonomous driving and it looks like following :

The idea behind this architecture is to improve the accuracy of depth images by adding confidence maps 
to the outputs of different sensors to govern their influence on the result for each pixel. Input is an 
RGB image and its corresponding LIDAR data, output is a depth image with the same dimensions.
For example, RGB features are best at discriminating global information such as sky, land, body of water, etc. 
while LIDAR features are better at capturing fine-grained, local information. So to decide which features will 
have more influence at the final regression result of which pixel, scientists proposed a confidence-guided 
architecture where confidence weights for each map are learned during training.
Judging by their test results and how successful their paper was, their idea worked out pretty well for their 
problem domain. That's why I would like to employ the idea of confidence weights in my own domain, where I have 
multiple sources of features too. I have implemented the same architecture and got promising results: Accuracy 
have been improved, but not enough to compete with SOTA. 
However, I believe that the architecture above can be improved for my needs. The diversity of the scene structure 
in my domain adds some amount of complexity to the image generation problem: Opposed to depth image generation for 
autonomous driving where scene structure is somewhat restricted (there is sky, there is road, there are sideways etc), 
the images that I need to analyze are sometimes taken from handheld cameras, some other images are areal views.
Here is a typical example of their scenario and some examples related to my domain, respectively.


This means my CNN needs to learn confidence weights for regions in fundamentally different scene setups. Top of 
the image can be sky, but can also be populated by people. Bottom of the image can be sea, or can be road. This 
brings me to the understanding that there is a non-linear relation between the position of the segments and confidence 
weights in my case; and I need to modify the CNN architecture by introducing some additional non-linearity to learn the 
confidences for different CNN columns in each situation correctly.
TLDR; I want to improve the CNN architecture above by introducing additional non-linearity, but I do not know how to do it. 
I have tried adding another layer to confidence weights (Extended the architecture by duplicating the same weights and activating 
with ReLU), but it has decreased the accuracy of the resulting model. Using the confidence weights as-is increases the accuracy, but
not as much as I need.
","['convolutional-neural-networks', 'computer-vision', 'regression', 'image-segmentation']",
Structure discrepancy of an LSTM?,"
I've found multiple depictions of how an LSTM cell operates. See 2 below:

and

Each of these images suggest the hidden state is utilised differently. On the top diagram, it is shown that the hidden state is added along with the previous output and current input to both the forget gate and the input gate. The bottom image suggests the input and forget gates are calculated only using the previous output and current input. Which is it?
Also, when the previous output is fed in for the current layer, is this before or after it has been reshaped to the final output size and been put through a softmax?
","['neural-networks', 'backpropagation', 'long-short-term-memory']",
Reference request: one-hot encoding outperforming random orthogonal encoding,"
I experimented with a CNN operating on texts encoded as sequences of character vectors, where characters are encoded as one-hot vectors in one embedding and as random unit length pairwise orthogonal vectors (orthogonal matrix) in another. While geometrically these encode the same vector space, the one-hot embedding outperformed the random orthogonal one consistently. I suppose this has to do with the clarity of the signal: A zero vector with a single 1-valued cell is an easier to learn signal than just some vector with lots of different values in each cell.
I wondered if you know of any papers on this kind of effect. I did not find any but would like to back up this finding and check if my reasoning for why this is the case makes sense/ find a better or more in-depth explanation.
","['neural-networks', 'convolutional-neural-networks', 'reference-request', 'word-embedding', 'papers']",
How to handle multiple types of decisions?,"
In lots of games there are multiple phases or decision points that are not similar yet seem to have a dependency on one another when taking the perspective of the overall strategy of the player. A couple examples I thought up:

In a simple draw poker, you can have a strategy for discarding cards and a strategy for betting. They may not be mutually exclusive if you know your opponents betting will change with the number of cards you draw.
In Cribbage there are two phases, Discard to crib and the Play. The Play phase is definitely dependent on which cards are discarded in the discard phase. So it seems knowledge of Play strategy would be needed to make the Discard decision.

The intent is to learn how to set up an unsupervised learning algorithm to play a game with multiple types of decision making. Doesn't matter the game. I'm at a loss at the highest level in what ML models to learn to use for this scenario. I don't think a single NN would work because of the different decision types.
My question is how are these dependencies handled in ML? What are some known algorithms/models that can handle this?
I'm at a loss on what to even search for so feel free to dump some terminology and keywords on me. =)
",['ai-design'],"
Your intuition is correct, neural networks are a no go (except see bottom). 
It seems like you'd want to look into the ML sub-field called Reinforcement Learning.
In a nutshell, RL offers a set of methods to learn what is the best action to take in a given situation.
More formally, in RL settings the algorithm learns from experience by observing a reward ($R$) associated to an action ($a$).
RL problems can be conceptualized as Markov Decision Processes (MDPs). From Sutton & Barto:

MDPs are a classical formalization of sequential decision making, where actions influence not just immediate rewards, but also subsequent situations, or states, and through those future rewards.

MDP can be faced with several methods, mainly Monte Carlo Methods and Temporal-Difference Learning. 
In short, both use the Bellman equation in different ways. A key component of the eq. is the discounting term ( $\gamma$ ). Values for rewards associated with future states are discounted (multiplied) by $\gamma<1$ in order to modulate the importance of future rewards.
Since you're concerned with strategy, another way to influence the agent's learning wrt. the environmental rewards is the adoption of an epsilon value $\epsilon<1$. When defining an $\epsilon$-greedy policy, the agent will choose the action with highest value $Q$ only with a probability equal to $1-\epsilon$. This enables the agent to balance exploitation of previous experience with the exploration of the environment. Very useful in cases where an immediate low reward compromises the achievement of a much higher reward later during the episode.
There's many other ways to influence the behaviour of your learner of choice to respond differently to its environment. For a complete view, I recommend Sutton and Burton who offer their book in pdf format for free at the given link.
Edit: almost forgot. Neural networks can be useful when combined with more classical RL methods, say Q-learning (a type of Temporal-difference learning), taking on the name of deep Q-learning.
Alpha go also uses a combination of Monte Carlo methods combined with 2 NNs for Value evaluation and policy evaluation Wikipedia.
I wouldn't necessarily venture in this domain without first having a clear overview of classical RL methods.
Hope this helps.
"
How is the gradient of the loss function in DQN derived?,"
In the original DQN paper, page 1, the loss function of the DQN is
$$
L_{i}(\theta_{i}) = \mathbb{E}_{(s,a,r,s') \sim  U(D)} [(r+\gamma \max_{a'} Q(s',a',\theta_{i}^{-}) - Q(s,a;\theta_{i}))^2]
$$
whose gradient is presented (on page 7)
$$\nabla_{\theta_i} L_i(\theta_i) = \mathbb{E}_{s,a,r,s'} [(r+\gamma \max_{a'}Q(s',a';\theta_i^-) - Q(s,a;\theta_i))\nabla_{\theta_i}Q(s,a;\theta_i)] $$
But why is there no minus (-) sign if $-Q(s,a;\theta_i)$ is parameterized by $\theta_i$ and why is the 2 from power gone?
","['reinforcement-learning', 'dqn', 'deep-rl', 'gradient-descent', 'gradient']",
